linea,categoria,num_corse,prima_partenza,ultimo_orario,pdf_url,note
Legenda linee,,0,,,https://www.ama.laquila.it/wp-content/uploads/2013/12/LEGENDA-LINEE.pdf,"nessuna corsa estratta (probabile PDF basato su immagine/scansione, richiede OCR)"
Punti di interesse,"Altri punti di interesse, come arrivo a...",0,,,https://www.ama.laquila.it/wp-content/uploads/2022/02/orario-Punti-di-interesse.pdf,"nessuna corsa estratta (probabile PDF basato su immagine/scansione, richiede OCR)"
A,Feriale,18,06:30,21:10,https://www.ama.laquila.it/wp-content/uploads/2021/05/LineaA170926.pdf,
B,Feriale,16,07:40,20:45,https://www.ama.laquila.it/wp-content/uploads/2021/05/LineaB160926_2.pdf,
1,Feriale,72,05:55,22:35,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario1_170926_2.pdf,
2,Feriale,27,05:51,21:40,https://www.ama.laquila.it/wp-content/uploads/2021/09/orario2_160926_2.pdf,
2U,Feriale,23,07:30,19:55,https://www.ama.laquila.it/wp-content/uploads/2022/10/orario2U_160926_2.pdf,
3,Feriale,47,06:10,20:50,https://www.ama.laquila.it/wp-content/uploads/2022/09/Orario-3_22092026.pdf,
5,Feriale,18,06:45,21:06,https://www.ama.laquila.it/wp-content/uploads/2020/05/orariolinea5_160926_2.pdf,
6S-6D,Feriale,32,05:55,21:20,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-6D-6S_21062026.pdf,
M6,Feriale,20,05:55,21:35,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-M6_M6H_22092026-1.pdf,
M6B,Feriale,12,09:35,18:35,https://www.ama.laquila.it/wp-content/uploads/2017/09/orarioM6B_2.pdf,
7,Feriale,20,06:20,20:05,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario7_160926_2.pdf,
8,Feriale,10,07:15,20:40,https://www.ama.laquila.it/wp-content/uploads/2020/05/orario8_160926_2.pdf,
9,Feriale,10,06:55,20:30,https://www.ama.laquila.it/wp-content/uploads/2020/05/orario9_160926_2.pdf,
10,Feriale,14,06:55,21:00,https://www.ama.laquila.it/wp-content/uploads/2020/10/orario10_160926_2.pdf,
11A,Feriale,37,07:40,20:00,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario11A_160926_2.pdf,
11,Feriale,28,06:56,21:15,https://www.ama.laquila.it/wp-content/uploads/2022/09/Orario-11_M11R_21062026.pdf,
12,Feriale,14,06:50,21:10,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-12_21092026.pdf,
12A,Feriale,14,06:45,20:50,https://www.ama.laquila.it/wp-content/uploads/2022/09/ORARIO12A_160926.pdf,
M12X,Feriale,11,08:45,16:50,https://www.ama.laquila.it/wp-content/uploads/2013/09/orario-M12X-3.pdf,
13,Feriale,23,06:10,21:00,https://www.ama.laquila.it/wp-content/uploads/2022/10/ORARIO13_160926.pdf,
