route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
31,1,A,LINEA A,,3,https://www.ama.laquila.it/wp-content/uploads/2021/05/LineaA170926.pdf,,
32,1,B,LINEA B,,3,https://www.ama.laquila.it/wp-content/uploads/2021/05/LineaB160926_2.pdf,,
10,1,1,LINEA 1,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario1_170926_2.pdf,,
19,1,2,LINEA 2,,3,https://www.ama.laquila.it/wp-content/uploads/2021/09/orario2_160926_2.pdf,,
12,1,2U,LINEA 2U,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/orario2U_160926_2.pdf,,
25,1,3,LINEA 3,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/Orario-3_22092026.pdf,,
18,1,5,LINEA 5,,3,https://www.ama.laquila.it/wp-content/uploads/2020/05/orariolinea5_160926_2.pdf,,
33,1,6S-6D,LINEA 6S-6D,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-6D-6S_21062026.pdf,,
34,1,M6,LINEA M6,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-M6_M6H_22092026-1.pdf,,
35,1,M6B,LINEA M6B,,3,https://www.ama.laquila.it/wp-content/uploads/2017/09/orarioM6B_2.pdf,,
9,1,7,LINEA 7,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario7_160926_2.pdf,,
13,1,8,LINEA 8,,3,https://www.ama.laquila.it/wp-content/uploads/2020/05/orario8_160926_2.pdf,,
11,1,9,LINEA 9,,3,https://www.ama.laquila.it/wp-content/uploads/2020/05/orario9_160926_2.pdf,,
16,1,10,LINEA 10,,3,https://www.ama.laquila.it/wp-content/uploads/2020/10/orario10_160926_2.pdf,,
2,1,11A,LINEA 11A,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/orario11A_160926_2.pdf,,
21,1,11,LINEA 11,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/Orario-11_M11R_21062026.pdf,,
1,1,12,LINEA 12,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-12_21092026.pdf,,
5,1,12A,LINEA 12A,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/ORARIO12A_160926.pdf,,
36,1,M12X,LINEA M12X,,3,https://www.ama.laquila.it/wp-content/uploads/2013/09/orario-M12X-3.pdf,,
30,1,13,LINEA 13,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/ORARIO13_160926.pdf,,
27,1,14D,LINEA 14D,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-14D_21062026.pdf,,
20,1,15,LINEA 15,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/ORARIO15_160926.pdf,,
8,1,16,LINEA 16,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/ORARIO16_160926.pdf,,
3,1,16A,LINEA 16A,,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-16A_22092026.pdf,,
37,1,M17,LINEA M17,,3,https://www.ama.laquila.it/wp-content/uploads/2020/09/ORARIO17_160926.pdf,,
38,1,CENTRO,LINEA CENTRO,,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/ORARIONC_160926.pdf,,
39,1,NAVETTA EX-CASERMA ROSSI,LINEA NAVETTA EX-CASERMA ROSSI,,3,https://www.ama.laquila.it/wp-content/uploads/2026/08/CasermaRossi_1.pdf,,
40,1,NAVETTA CENTRO FESTIVI,LINEA NAVETTA CENTRO FESTIVI,,3,https://www.ama.laquila.it/wp-content/uploads/2025/10/Navetta-centro-storico_20.pdf,,
41,1,2UF,LINEA 2UF,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/orario-2F.pdf,,
42,1,5F,LINEA 5F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/Nuovo-Orario-M5F-1.pdf,,
43,1,M6F,LINEA M6F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/OrarioM6F_.pdf,,
44,1,M11F,LINEA M11F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/orario-M11F.pdf,,
45,1,M14F,LINEA M14F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/orario-M14F.pdf,,
46,1,M15F,LINEA M15F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/orario-M15F.pdf,,
47,1,M16F,LINEA M16F,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/OrarioM16F.pdf,,
48,1,Collesapone (scolastico),LINEA Collesapone (scolastico),,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/Orario-Colle-Sapone_22092026-2.pdf,,
49,1,Scuola Media Mazzini (scolastico),LINEA Scuola Media Mazzini (scolastico),,3,https://www.ama.laquila.it/wp-content/uploads/2022/09/ScuolamediaMazzini_160926.pdf,,
50,1,Scuola Media Pettino(scolastico),LINEA Scuola Media Pettino(scolastico),,3,https://www.ama.laquila.it/wp-content/uploads/2022/03/ScuolamediaPettino_190926.pdf,,
51,1,Scuola Media Sassa e Pianola (scolastico),LINEA Scuola Media Sassa e Pianola (scolastico),,3,https://www.ama.laquila.it/wp-content/uploads/2022/10/ScuolamediaSassa_160926-2.pdf,,
52,1,SCUOLA MEDIA CARDUCCI,LINEA SCUOLA MEDIA CARDUCCI,,3,https://www.ama.laquila.it/wp-content/uploads/2025/11/Carducci_160926.pdf,,
53,1,SCUOLA MEDIA PAGANICA,LINEA SCUOLA MEDIA PAGANICA,,3,https://www.ama.laquila.it/wp-content/uploads/2026/09/ScuolamediaPaganica160926.pdf,,
54,1,Stazione FF.SS. festivo,LINEA Stazione FF.SS. festivo,,3,https://www.ama.laquila.it/wp-content/uploads/2022/07/orario-Stazione-FF.SS_.-festivo.pdf,,
