trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1,06:30:00,06:30:00,1,1,,0,0,,1
1,06:33:00,06:33:00,1059,2,,0,0,,1
1,06:38:00,06:38:00,1060,3,,0,0,,1
1,06:42:00,06:42:00,1061,4,,0,0,,1
1,06:45:00,06:45:00,1062,5,,0,0,,1
1,06:42:00,06:42:00,1063,6,,0,0,,1
1,06:50:00,06:50:00,1064,7,,0,0,,1
1,06:52:00,06:52:00,1065,8,,0,0,,1
1,06:54:00,06:54:00,1066,9,,0,0,,1
1,06:55:00,06:55:00,1061,10,,0,0,,1
1,06:56:00,06:56:00,1067,11,,0,0,,1
1,06:57:00,06:57:00,1068,12,,0,0,,1
1,07:00:00,07:00:00,1,13,,0,0,,1
2,07:30:00,07:30:00,1064,1,,0,0,,1
2,07:35:00,07:35:00,1065,2,,0,0,,1
2,07:40:00,07:40:00,1066,3,,0,0,,1
2,07:41:00,07:41:00,1061,4,,0,0,,1
2,07:45:00,07:45:00,1069,5,,0,0,,1
2,07:48:00,07:48:00,1067,6,,0,0,,1
2,07:53:00,07:53:00,1068,7,,0,0,,1
2,08:10:00,08:10:00,1,8,,0,0,,1
3,08:10:00,08:10:00,1,1,,0,0,,1
3,08:13:00,08:13:00,1059,2,,0,0,,1
3,08:15:00,08:15:00,53,3,,0,0,,1
3,08:18:00,08:18:00,1060,4,,0,0,,1
3,08:22:00,08:22:00,1061,5,,0,0,,1
3,08:25:00,08:25:00,1062,6,,0,0,,1
3,08:30:00,08:30:00,1063,7,,0,0,,1
3,08:40:00,08:40:00,1064,8,,0,0,,1
3,08:45:00,08:45:00,1065,9,,0,0,,1
3,08:47:00,08:47:00,1066,10,,0,0,,1
3,08:51:00,08:51:00,1061,11,,0,0,,1
3,08:55:00,08:55:00,1069,12,,0,0,,1
3,08:58:00,08:58:00,1067,13,,0,0,,1
3,09:03:00,09:03:00,1068,14,,0,0,,1
3,09:20:00,09:20:00,1,15,,0,0,,1
4,09:00:00,09:00:00,1,1,,0,0,,1
4,09:03:00,09:03:00,1059,2,,0,0,,1
4,09:05:00,09:05:00,53,3,,0,0,,1
4,09:08:00,09:08:00,1060,4,,0,0,,1
4,09:12:00,09:12:00,1061,5,,0,0,,1
4,09:15:00,09:15:00,1062,6,,0,0,,1
4,09:20:00,09:20:00,1063,7,,0,0,,1
4,09:30:00,09:30:00,1064,8,,0,0,,1
4,09:35:00,09:35:00,1065,9,,0,0,,1
4,09:37:00,09:37:00,1066,10,,0,0,,1
4,09:41:00,09:41:00,1061,11,,0,0,,1
4,09:45:00,09:45:00,1069,12,,0,0,,1
4,09:48:00,09:48:00,1067,13,,0,0,,1
4,09:53:00,09:53:00,1068,14,,0,0,,1
4,10:10:00,10:10:00,1,15,,0,0,,1
5,09:50:00,09:50:00,1,1,,0,0,,1
5,09:53:00,09:53:00,1059,2,,0,0,,1
5,09:55:00,09:55:00,53,3,,0,0,,1
5,09:58:00,09:58:00,1060,4,,0,0,,1
5,10:02:00,10:02:00,1061,5,,0,0,,1
5,10:05:00,10:05:00,1062,6,,0,0,,1
5,10:10:00,10:10:00,1063,7,,0,0,,1
5,10:20:00,10:20:00,1064,8,,0,0,,1
5,10:25:00,10:25:00,1065,9,,0,0,,1
5,10:27:00,10:27:00,1066,10,,0,0,,1
5,10:31:00,10:31:00,1061,11,,0,0,,1
5,10:35:00,10:35:00,1069,12,,0,0,,1
5,10:38:00,10:38:00,1067,13,,0,0,,1
5,10:43:00,10:43:00,1068,14,,0,0,,1
5,11:00:00,11:00:00,1,15,,0,0,,1
6,10:40:00,10:40:00,1,1,,0,0,,1
6,10:43:00,10:43:00,1059,2,,0,0,,1
6,10:45:00,10:45:00,53,3,,0,0,,1
6,10:48:00,10:48:00,1060,4,,0,0,,1
6,10:52:00,10:52:00,1061,5,,0,0,,1
6,10:55:00,10:55:00,1062,6,,0,0,,1
6,11:00:00,11:00:00,1063,7,,0,0,,1
6,11:10:00,11:10:00,1064,8,,0,0,,1
6,11:15:00,11:15:00,1065,9,,0,0,,1
6,11:17:00,11:17:00,1066,10,,0,0,,1
6,11:21:00,11:21:00,1061,11,,0,0,,1
6,11:25:00,11:25:00,1069,12,,0,0,,1
6,11:28:00,11:28:00,1067,13,,0,0,,1
6,11:33:00,11:33:00,1068,14,,0,0,,1
6,11:50:00,11:50:00,1,15,,0,0,,1
7,11:30:00,11:30:00,1,1,,0,0,,1
7,11:33:00,11:33:00,1059,2,,0,0,,1
7,11:35:00,11:35:00,53,3,,0,0,,1
7,11:38:00,11:38:00,1060,4,,0,0,,1
7,11:42:00,11:42:00,1061,5,,0,0,,1
7,11:45:00,11:45:00,1062,6,,0,0,,1
7,11:50:00,11:50:00,1063,7,,0,0,,1
7,12:00:00,12:00:00,1064,8,,0,0,,1
7,12:05:00,12:05:00,1065,9,,0,0,,1
7,12:07:00,12:07:00,1066,10,,0,0,,1
7,12:11:00,12:11:00,1061,11,,0,0,,1
7,12:15:00,12:15:00,1069,12,,0,0,,1
7,12:18:00,12:18:00,1067,13,,0,0,,1
7,12:23:00,12:23:00,1068,14,,0,0,,1
7,12:40:00,12:40:00,1,15,,0,0,,1
8,12:20:00,12:20:00,1,1,,0,0,,1
8,12:23:00,12:23:00,1059,2,,0,0,,1
8,12:25:00,12:25:00,53,3,,0,0,,1
8,12:28:00,12:28:00,1060,4,,0,0,,1
8,12:32:00,12:32:00,1061,5,,0,0,,1
8,12:35:00,12:35:00,1062,6,,0,0,,1
8,12:40:00,12:40:00,1063,7,,0,0,,1
8,12:50:00,12:50:00,1064,8,,0,0,,1
8,12:55:00,12:55:00,1065,9,,0,0,,1
8,12:57:00,12:57:00,1066,10,,0,0,,1
8,13:01:00,13:01:00,1061,11,,0,0,,1
8,13:05:00,13:05:00,1069,12,,0,0,,1
8,13:08:00,13:08:00,1067,13,,0,0,,1
8,13:13:00,13:13:00,1068,14,,0,0,,1
8,13:30:00,13:30:00,1,15,,0,0,,1
9,13:10:00,13:10:00,1,1,,0,0,,1
9,13:13:00,13:13:00,1059,2,,0,0,,1
9,13:15:00,13:15:00,53,3,,0,0,,1
9,13:18:00,13:18:00,1060,4,,0,0,,1
9,13:22:00,13:22:00,1061,5,,0,0,,1
9,13:25:00,13:25:00,1062,6,,0,0,,1
9,13:30:00,13:30:00,1063,7,,0,0,,1
9,13:40:00,13:40:00,1064,8,,0,0,,1
9,13:45:00,13:45:00,1065,9,,0,0,,1
9,13:47:00,13:47:00,1066,10,,0,0,,1
9,13:51:00,13:51:00,1061,11,,0,0,,1
9,13:55:00,13:55:00,1069,12,,0,0,,1
9,13:58:00,13:58:00,1067,13,,0,0,,1
9,14:03:00,14:03:00,1068,14,,0,0,,1
9,14:20:00,14:20:00,1,15,,0,0,,1
10,14:00:00,14:00:00,1,1,,0,0,,1
10,14:03:00,14:03:00,1059,2,,0,0,,1
10,14:05:00,14:05:00,53,3,,0,0,,1
10,14:08:00,14:08:00,1060,4,,0,0,,1
10,14:12:00,14:12:00,1061,5,,0,0,,1
10,14:15:00,14:15:00,1062,6,,0,0,,1
10,14:20:00,14:20:00,1063,7,,0,0,,1
10,14:30:00,14:30:00,1064,8,,0,0,,1
10,14:35:00,14:35:00,1065,9,,0,0,,1
10,14:37:00,14:37:00,1066,10,,0,0,,1
10,14:41:00,14:41:00,1061,11,,0,0,,1
10,14:45:00,14:45:00,1069,12,,0,0,,1
10,14:48:00,14:48:00,1067,13,,0,0,,1
10,14:53:00,14:53:00,1068,14,,0,0,,1
10,15:10:00,15:10:00,1,15,,0,0,,1
11,14:50:00,14:50:00,1,1,,0,0,,1
11,14:53:00,14:53:00,1059,2,,0,0,,1
11,14:55:00,14:55:00,53,3,,0,0,,1
11,14:58:00,14:58:00,1060,4,,0,0,,1
11,15:02:00,15:02:00,1061,5,,0,0,,1
11,15:05:00,15:05:00,1062,6,,0,0,,1
11,15:10:00,15:10:00,1063,7,,0,0,,1
11,15:20:00,15:20:00,1064,8,,0,0,,1
11,15:25:00,15:25:00,1065,9,,0,0,,1
11,15:27:00,15:27:00,1066,10,,0,0,,1
11,15:31:00,15:31:00,1061,11,,0,0,,1
11,15:35:00,15:35:00,1069,12,,0,0,,1
11,15:38:00,15:38:00,1067,13,,0,0,,1
11,15:43:00,15:43:00,1068,14,,0,0,,1
11,16:00:00,16:00:00,1,15,,0,0,,1
12,15:40:00,15:40:00,1,1,,0,0,,1
12,15:43:00,15:43:00,1059,2,,0,0,,1
12,15:45:00,15:45:00,53,3,,0,0,,1
12,15:48:00,15:48:00,1060,4,,0,0,,1
12,15:52:00,15:52:00,1061,5,,0,0,,1
12,15:55:00,15:55:00,1062,6,,0,0,,1
12,16:00:00,16:00:00,1063,7,,0,0,,1
12,16:10:00,16:10:00,1064,8,,0,0,,1
12,16:15:00,16:15:00,1065,9,,0,0,,1
12,16:17:00,16:17:00,1066,10,,0,0,,1
12,16:21:00,16:21:00,1061,11,,0,0,,1
12,16:25:00,16:25:00,1069,12,,0,0,,1
12,16:28:00,16:28:00,1067,13,,0,0,,1
12,16:33:00,16:33:00,1068,14,,0,0,,1
12,16:50:00,16:50:00,1,15,,0,0,,1
13,16:30:00,16:30:00,1,1,,0,0,,1
13,16:33:00,16:33:00,1059,2,,0,0,,1
13,16:35:00,16:35:00,53,3,,0,0,,1
13,16:38:00,16:38:00,1060,4,,0,0,,1
13,16:42:00,16:42:00,1061,5,,0,0,,1
13,16:45:00,16:45:00,1062,6,,0,0,,1
13,16:50:00,16:50:00,1063,7,,0,0,,1
13,17:00:00,17:00:00,1064,8,,0,0,,1
13,17:05:00,17:05:00,1065,9,,0,0,,1
13,17:07:00,17:07:00,1066,10,,0,0,,1
13,17:11:00,17:11:00,1061,11,,0,0,,1
13,17:15:00,17:15:00,1069,12,,0,0,,1
13,17:18:00,17:18:00,1067,13,,0,0,,1
13,17:23:00,17:23:00,1068,14,,0,0,,1
13,17:40:00,17:40:00,1,15,,0,0,,1
14,17:20:00,17:20:00,1,1,,0,0,,1
14,17:23:00,17:23:00,1059,2,,0,0,,1
14,17:25:00,17:25:00,53,3,,0,0,,1
14,17:28:00,17:28:00,1060,4,,0,0,,1
14,17:32:00,17:32:00,1061,5,,0,0,,1
14,17:35:00,17:35:00,1062,6,,0,0,,1
14,17:40:00,17:40:00,1063,7,,0,0,,1
14,17:50:00,17:50:00,1064,8,,0,0,,1
14,17:55:00,17:55:00,1065,9,,0,0,,1
14,17:57:00,17:57:00,1066,10,,0,0,,1
14,18:01:00,18:01:00,1061,11,,0,0,,1
14,18:05:00,18:05:00,1069,12,,0,0,,1
14,18:08:00,18:08:00,1067,13,,0,0,,1
14,18:13:00,18:13:00,1068,14,,0,0,,1
14,18:30:00,18:30:00,1,15,,0,0,,1
15,18:10:00,18:10:00,1,1,,0,0,,1
15,18:13:00,18:13:00,1059,2,,0,0,,1
15,18:15:00,18:15:00,53,3,,0,0,,1
