route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
31,1,1,Terminalbus,6S A,0,,,
31,1,2,Terminalbus,6S A,0,,,
31,1,3,Terminalbus,A,0,,,
31,1,4,Terminalbus,A,0,,,
31,1,5,Terminalbus,A,0,,,
31,1,6,Terminalbus,A,0,,,
31,1,7,Terminalbus,A,0,,,
31,1,8,Terminalbus,A,0,,,
31,1,9,Terminalbus,A,0,,,
31,1,10,Terminalbus,A,0,,,
31,1,11,Terminalbus,A,0,,,
31,1,12,Terminalbus,A,0,,,
31,1,13,Terminalbus,A,0,,,
31,1,14,Terminalbus,A A A A A,0,,,
31,1,15,Terminalbus,A A A A A,0,,,
31,1,16,Terminalbus,A A A A A,0,,,
31,1,17,Terminalbus,A A A A A,0,,,
31,1,18,Ospedale/ Università(lato università),A A A A A,0,,,
32,1,19,Ospedale/ Università (lato ospedale),6DL,0,,,
32,1,20,Terminalbus,B,0,,,
32,1,21,Terminalbus,B,0,,,
32,1,22,Terminalbus,B,0,,,
32,1,23,Terminalbus,B,0,,,
32,1,24,Terminalbus,B,0,,,
32,1,25,Terminalbus,B,0,,,
32,1,26,Terminalbus,B,0,,,
32,1,27,Terminalbus,B,0,,,
32,1,28,Terminalbus,B,0,,,
32,1,29,Terminalbus,B,0,,,
32,1,30,Terminalbus,B,0,,,
32,1,31,Terminalbus,B,0,,,
32,1,32,Terminalbus,B,0,,,
32,1,33,Terminalbus,B,0,,,
32,1,34,Ospedale/ Università (lato ospedale),B,0,,,
10,1,35,Viale Croce Rossa,,0,,,
10,1,36,Finanza,,0,,,
10,1,37,L'Aquilone,,0,,,
10,1,38,Finanza,,0,,,
10,1,39,L'Aquilone,,0,,,
10,1,40,Finanza,SA,0,,,
10,1,41,L'Aquilone,SA,0,,,
10,1,42,L'Aquilone,SA,0,,,
10,1,43,L'Aquilone,SA,0,,,
10,1,44,Viale Croce Rossa,SA,0,,,
10,1,45,L'Aquilone,SA,0,,,
10,1,46,Viale Croce Rossa,SA,0,,,
10,1,47,Finanza,SA,0,,,
10,1,48,L'Aquilone,SA,0,,,
10,1,49,Viale Croce Rossa,SA,0,,,
10,1,50,L'Aquilone,SA,0,,,
10,1,51,Finanza,SA,0,,,
10,1,52,Viale Croce Rossa,SA,0,,,
10,1,53,L'Aquilone,SA,0,,,
10,1,54,L'Aquilone,SA,0,,,
10,1,55,Viale Croce Rossa,SA,0,,,
10,1,56,Via San Sisto,S,0,,,
10,1,57,L'Aquilone,S,0,,,
10,1,58,Via Amiternum,S,0,,,
10,1,59,L'Aquilone,S,0,,,
10,1,60,L'Aquilone,S,0,,,
10,1,61,Viale Croce Rossa,S,0,,,
10,1,62,L'Aquilone,S,0,,,
10,1,63,Viale Croce Rossa,S,0,,,
10,1,64,L'Aquilone,S,0,,,
10,1,65,L'Aquilone,S,0,,,
10,1,66,L'Aquilone,S,0,,,
10,1,67,Viale Croce Rossa,S,0,,,
10,1,68,L'Aquilone,S,0,,,
10,1,69,L'Aquilone,S,0,,,
10,1,70,Viale Croce Rossa,S,0,,,
10,1,71,Reiss Romoli,S,0,,,
10,1,72,Terminalbus,,1,,,
10,1,73,Terminalbus,,1,,,
10,1,74,Terminalbus,,1,,,
10,1,75,Terminalbus,,1,,,
10,1,76,Terminalbus,,1,,,
10,1,77,Terminalbus,,1,,,
10,1,78,Terminalbus,,1,,,
10,1,79,Terminalbus,,1,,,
10,1,80,Terminalbus,,1,,,
10,1,81,Terminalbus,,1,,,
10,1,82,Terminalbus,,1,,,
10,1,83,Terminalbus,,1,,,
10,1,84,Terminalbus,,1,,,
10,1,85,Terminalbus,ST,1,,,
10,1,86,Terminalbus,S,1,,,
10,1,87,Terminalbus,S,1,,,
10,1,88,Terminalbus,S,1,,,
10,1,89,Terminalbus,S,1,,,
10,1,90,Terminalbus,S,1,,,
10,1,91,Terminalbus,CS,1,,,
10,1,92,Terminalbus,S,1,,,
10,1,93,Terminalbus,T,1,,,
10,1,94,Terminalbus,T,1,,,
10,1,95,Terminalbus,T,1,,,
10,1,96,Terminalbus,T,1,,,
10,1,97,Terminalbus,T,1,,,
10,1,98,Terminalbus,T,1,,,
10,1,99,Terminalbus,T,1,,,
10,1,100,Terminalbus,T,1,,,
10,1,101,Terminalbus,T,1,,,
10,1,102,Terminalbus,T,1,,,
10,1,103,Terminalbus,T,1,,,
10,1,104,Terminalbus,T,1,,,
10,1,105,Terminalbus,T,1,,,
10,1,106,Terminalbus,A,1,,,
19,1,107,2,,0,,,
19,1,108,2,,0,,,
19,1,109,2,,0,,,
19,1,110,2,,0,,,
19,1,111,2,,0,,,
19,1,112,2,,0,,,
19,1,113,2,,0,,,
19,1,114,A,A,0,,,
19,1,115,S,S,0,,,
19,1,116,S,S,0,,,
19,1,117,S,S,0,,,
19,1,118,S,S,0,,,
19,1,119,S,S,0,,,
19,1,120,S,S,0,,,
19,1,121,S,S,0,,,
19,1,122,S,S,0,,,
19,1,123,S,S,0,,,
19,1,124,S,S,0,,,
19,1,125,S,S,0,,,
19,1,126,S,S,0,,,
19,1,127,S,S,0,,,
19,1,128,B,B,0,,,
19,1,129,B,B,0,,,
19,1,130,B,B,0,,,
19,1,131,B,B,0,,,
19,1,132,B,B,0,,,
19,1,133,B,B,0,,,
12,1,134,S.S.80(lato Caserma),,0,,,
12,1,135,L'Aquilone,B,0,,,
12,1,136,L'Aquilone,ST,0,,,
12,1,137,L'Aquilone,ST,0,,,
12,1,138,L'Aquilone,S,0,,,
12,1,139,L'Aquilone,S,0,,,
12,1,140,L'Aquilone,S,0,,,
12,1,141,L'Aquilone,S,0,,,
12,1,142,L'Aquilone,S,0,,,
12,1,143,L'Aquilone,S,0,,,
12,1,144,L'Aquilone,S,0,,,
12,1,145,L'Aquilone,S,0,,,
12,1,146,L'Aquilone,S,0,,,
12,1,147,S,S,0,,,
12,1,148,S,S,0,,,
12,1,149,S,S,0,,,
12,1,150,S,S,0,,,
12,1,151,S,S,0,,,
12,1,152,S,S,0,,,
12,1,153,A,A,0,,,
12,1,154,SA,SA,0,,,
12,1,155,A,A,0,,,
12,1,156,A,A,0,,,
25,1,157,Università (lato ospedale),,0,,,
25,1,158,S.p. 33,S,0,,,
25,1,159,Cansatessa,S,0,,,
25,1,160,Università (lato ospedale),S,0,,,
25,1,161,Università (lato ospedale),S,0,,,
25,1,162,Università (lato ospedale),S,0,,,
25,1,163,Università (lato ospedale),S,0,,,
25,1,164,Università (lato ospedale),S,0,,,
25,1,165,Università (lato ospedale),S,0,,,
25,1,166,Università (lato ospedale),S,0,,,
25,1,167,Università (lato ospedale),S,0,,,
25,1,168,Università (lato ospedale),S,0,,,
25,1,169,Università (lato ospedale),S,0,,,
25,1,170,Università (lato ospedale),S,0,,,
25,1,171,Università (lato ospedale),S,0,,,
25,1,172,Università (lato ospedale),S,0,,,
25,1,173,Università (lato ospedale),S,0,,,
25,1,174,Università (lato ospedale),S,0,,,
25,1,175,Università (lato ospedale),S,0,,,
25,1,176,Università (lato ospedale),S,0,,,
25,1,177,Università (lato ospedale),S,0,,,
25,1,178,Università (lato ospedale),S,0,,,
25,1,179,Università (lato ospedale),S,0,,,
25,1,180,Università (lato ospedale),S,0,,,
25,1,181,Terminalbus,,1,,,
25,1,182,Terminalbus,,1,,,
25,1,183,Antica Arischia,S,1,,,
25,1,184,Terminalbus,S,1,,,
25,1,185,Terminalbus,A,1,,,
25,1,186,Terminalbus,A,1,,,
25,1,187,Terminalbus,A,1,,,
25,1,188,Terminalbus,A,1,,,
25,1,189,Terminalbus,A,1,,,
25,1,190,Terminalbus,A,1,,,
25,1,191,Terminalbus,A,1,,,
25,1,192,Terminalbus,A,1,,,
25,1,193,Terminalbus,A,1,,,
25,1,194,Terminalbus,A,1,,,
25,1,195,Terminalbus,A,1,,,
25,1,196,Terminalbus,A,1,,,
